fid,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,pop_sum
221,33,BRA,Brazil,5,Bahia,221,Aporá,Município,Municipality,,,17117
222,33,BRA,Brazil,5,Bahia,222,Apuarema,Município,Municipality,,,6498
223,33,BRA,Brazil,5,Bahia,223,Araças,Município,Municipality,,,11125
224,33,BRA,Brazil,5,Bahia,224,Aracatu,Município,Municipality,,,15185
225,33,BRA,Brazil,5,Bahia,225,Araci,Município,Municipality,,,48520
226,33,BRA,Brazil,5,Bahia,226,Aramari,Município,Municipality,,,10173
227,33,BRA,Brazil,5,Bahia,227,Arataca,Município,Municipality,,,9396
228,33,BRA,Brazil,5,Bahia,228,Aratuípe,Município,Municipality,,,443
229,33,BRA,Brazil,5,Bahia,229,Aratuipe,Município,Municipality,,,7930
230,33,BRA,Brazil,5,Bahia,230,Aurelino Leal,Município,Municipality,,,10126
231,33,BRA,Brazil,5,Bahia,231,Baianópolis,Município,Municipality,,,14167
232,33,BRA,Brazil,5,Bahia,232,Baixa Grande,Município,Municipality,,,17640
233,33,BRA,Brazil,5,Bahia,233,Banzaê,Município,Municipality,,,7670
234,33,BRA,Brazil,5,Bahia,234,Barra da Choça,Município,Municipality,,,38662
235,33,BRA,Brazil,5,Bahia,235,Barra da Estiva,Município,Municipality,,,27698
236,33,BRA,Brazil,5,Bahia,236,Barra do Mendes,Município,Municipality,,,14172
237,33,BRA,Brazil,5,Bahia,237,Barra do Rocha,Município,Municipality,,,6057
238,33,BRA,Brazil,5,Bahia,238,Barra,Município,Municipality,,,53086
239,33,BRA,Brazil,5,Bahia,239,Barreiras,Município,Municipality,,,295755
240,33,BRA,Brazil,5,Bahia,240,Barro Alto,Município,Municipality,,,13563
241,33,BRA,Brazil,5,Bahia,241,Barro Preto,Município,Municipality,,,3256
242,33,BRA,Brazil,5,Bahia,242,Belmonte,Município,Municipality,,,20347
243,33,BRA,Brazil,5,Bahia,243,Belo Campo,Município,Municipality,,,17446
244,33,BRA,Brazil,5,Bahia,244,Biritinga,Município,Municipality,,,13420
245,33,BRA,Brazil,5,Bahia,245,Boa Nova,Município,Municipality,,,13830
246,33,BRA,Brazil,5,Bahia,246,Boa Vista do Tupim,Município,Municipality,,,15668
247,33,BRA,Brazil,5,Bahia,247,Bom Jesus da Lapa,Município,Municipality,,,66748
248,33,BRA,Brazil,5,Bahia,248,Bom Jesus da Serra,Município,Municipality,,,9608
249,33,BRA,Brazil,5,Bahia,249,Boninal,Município,Municipality,,,13032
250,33,BRA,Brazil,5,Bahia,250,Bonito,Município,Municipality,,,15554
251,33,BRA,Brazil,5,Bahia,251,Boquira,Município,Municipality,,,18732
252,33,BRA,Brazil,5,Bahia,252,Botuporã,Município,Municipality,,,10698
253,33,BRA,Brazil,5,Bahia,253,Brejões,Município,Municipality,,,9978
254,33,BRA,Brazil,5,Bahia,254,Brejolândia,Município,Municipality,,,9362
255,33,BRA,Brazil,5,Bahia,255,Brotas de Macaúbas,Município,Municipality,,,11439
256,33,BRA,Brazil,5,Bahia,256,Brumado,Município,Municipality,,,73952
257,33,BRA,Brazil,5,Bahia,257,Buerarema,Município,Municipality,,,13359
258,33,BRA,Brazil,5,Bahia,258,Buritirama,Município,Municipality,,,19754
259,33,BRA,Brazil,5,Bahia,259,Cândido Sales,Município,Municipality,,,25937
260,33,BRA,Brazil,5,Bahia,260,Caém,Município,Municipality,,,10531
261,33,BRA,Brazil,5,Bahia,261,Caatiba,Município,Municipality,,,6635
262,33,BRA,Brazil,5,Bahia,262,Cabaceiras do Paraguaçu,Município,Municipality,,,15536
263,33,BRA,Brazil,5,Bahia,263,Cícero Dantas,Município,Municipality,,,31938
264,33,BRA,Brazil,5,Bahia,264,Cachoeira,Município,Municipality,,,29855
265,33,BRA,Brazil,5,Bahia,265,Caculé,Município,Municipality,,,23591
266,33,BRA,Brazil,5,Bahia,266,Caetanos,Município,Municipality,,,11038
267,33,BRA,Brazil,5,Bahia,267,Caetité,Município,Municipality,,,52577
268,33,BRA,Brazil,5,Bahia,268,Cafarnaum,Município,Municipality,,,19553
269,33,BRA,Brazil,5,Bahia,269,Cairu,Município,Municipality,,,15909
270,33,BRA,Brazil,5,Bahia,270,Caldeirão Grande,Município,Municipality,,,15292
271,33,BRA,Brazil,5,Bahia,271,Camaçari,Município,Municipality,,,323905
272,33,BRA,Brazil,5,Bahia,272,Camacan,Município,Municipality,,,20102
273,33,BRA,Brazil,5,Bahia,273,Camamu,Município,Municipality,,,30615
274,33,BRA,Brazil,5,Bahia,274,Campo Alegre de Lourdes,Município,Municipality,,,32435
275,33,BRA,Brazil,5,Bahia,275,Campo Formoso,Município,Municipality,,,74453
276,33,BRA,Brazil,5,Bahia,276,Canápolis,Município,Municipality,,,11025
277,33,BRA,Brazil,5,Bahia,277,Canarana,Município,Municipality,,,26435
278,33,BRA,Brazil,5,Bahia,278,Canavieiras,Município,Municipality,,,33644
279,33,BRA,Brazil,5,Bahia,279,Candeal,Município,Municipality,,,7699
280,33,BRA,Brazil,5,Bahia,280,Candeias,Município,Municipality,,,70980
281,33,BRA,Brazil,5,Bahia,281,Candiba,Município,Municipality,,,12318
282,33,BRA,Brazil,5,Bahia,282,Cansanção,Município,Municipality,,,38394
283,33,BRA,Brazil,5,Bahia,283,Canudos,Município,Municipality,,,16557
284,33,BRA,Brazil,5,Bahia,284,Capela do Alto Alegre,Município,Municipality,,,10618
285,33,BRA,Brazil,5,Bahia,285,Capim Grosso,Município,Municipality,,,33870
286,33,BRA,Brazil,5,Bahia,286,Caraíbas,Município,Municipality,,,12412
287,33,BRA,Brazil,5,Bahia,287,Caravelas,Município,Municipality,,,20549
288,33,BRA,Brazil,5,Bahia,288,Cardeal da Silva,Município,Municipality,,,7279
289,33,BRA,Brazil,5,Bahia,289,Carinhanha,Município,Municipality,,,30579
290,33,BRA,Brazil,5,Bahia,290,Casa Nova,Município,Municipality,,,77114
291,33,BRA,Brazil,5,Bahia,291,Castro Alves,Município,Municipality,,,26176
292,33,BRA,Brazil,5,Bahia,292,Catolândia,Município,Municipality,,,3570
293,33,BRA,Brazil,5,Bahia,293,Catu,Município,Municipality,,,48613
294,33,BRA,Brazil,5,Bahia,294,Caturama,Município,Municipality,,,7495
295,33,BRA,Brazil,5,Bahia,295,Central,Município,Municipality,,,17041
296,33,BRA,Brazil,5,Bahia,296,Chorrochó,Município,Municipality,,,9414
297,33,BRA,Brazil,5,Bahia,297,Cipó,Município,Municipality,,,18134
298,33,BRA,Brazil,5,Bahia,298,Coaraci,Município,Municipality,,,16336
299,33,BRA,Brazil,5,Bahia,299,Cocos,Município,Municipality,,,20086
300,33,BRA,Brazil,5,Bahia,300,Conceição da Feira,Município,Municipality,,,21481
301,33,BRA,Brazil,5,Bahia,301,Conceição do Almeida,Município,Municipality,,,13225
302,33,BRA,Brazil,5,Bahia,302,Conceição do Coité,Município,Municipality,,,73957
303,33,BRA,Brazil,5,Bahia,303,Conceição do Jacuípe,Município,Municipality,,,36762
304,33,BRA,Brazil,5,Bahia,304,Conceicao do Almeida,Município,Municipality,,,2358
305,33,BRA,Brazil,5,Bahia,305,Condeúba,Município,Municipality,,,16129
306,33,BRA,Brazil,5,Bahia,306,Conde,Município,Municipality,,,23327
307,33,BRA,Brazil,5,Bahia,307,Contendas do Sincorá,Município,Municipality,,,3100
308,33,BRA,Brazil,5,Bahia,308,Coração de Maria,Município,Municipality,,,29661
309,33,BRA,Brazil,5,Bahia,309,Cordeiros,Município,Municipality,,,8098
310,33,BRA,Brazil,5,Bahia,310,Coribe,Município,Municipality,,,14006
311,33,BRA,Brazil,5,Bahia,311,Coronel João Sá,Município,Municipality,,,17001
312,33,BRA,Brazil,5,Bahia,312,Correntina,Município,Municipality,,,34587
313,33,BRA,Brazil,5,Bahia,313,Cotegipe,Município,Municipality,,,26051
314,33,BRA,Brazil,5,Bahia,314,Cravolândia,Município,Municipality,,,3560
